Norway's Gold Medal list,,,,,,,
Year,City,Sport,Athlete,Country,Gender,Event,Medal
1994,Lillehammer,Skiing,"MIKKELSPLASS, Marit",NOR,Women,30KM,2
1994,Lillehammer,Skiing,"DAEHLIE, Bj’_rn",NOR,Men,30KM Mass Start,2
1994,Lillehammer,Skiing,"ALSGAARD, Thomas",NOR,Men,4X10KM Relay,2
1994,Lillehammer,Skiing,"DAEHLIE, Bj’_rn",NOR,Men,4X10KM Relay,2
1994,Lillehammer,Skiing,"SIVERTSEN, Sture",NOR,Men,4X10KM Relay,2
1994,Lillehammer,Skiing,"ULVANG, Vegard",NOR,Men,4X10KM Relay,2
1994,Lillehammer,Skiing,"DYBENDAHL HARTZ, Trude",NOR,Women,4X5KM Relay,2
1994,Lillehammer,Skiing,"MOEN, Anita",NOR,Women,4X5KM Relay,2
1994,Lillehammer,Skiing,"NILSEN, Elin",NOR,Women,4X5KM Relay,2
1994,Lillehammer,Skiing,"NYBRAATEN, Inger Helene",NOR,Women,4X5KM Relay,2
1994,Lillehammer,Skiing,"APELAND, Knut",NOR,Men,Team,2
1994,Lillehammer,Skiing,"LUNDBERG, Fred Boerre",NOR,Men,Team,2
1994,Lillehammer,Skiing,"VIK, Bjarte Engen",NOR,Men,Team,2
1994,Lillehammer,Skiing,"BREDESEN, Espen",NOR,Men,K120 Individual (90M),2
1994,Lillehammer,Skiing,"OTTESEN, Lasse",NOR,Men,K90 Individual (70M),2
1998,Nagano,Biathlon,"ANDRESEN, Frode",NOR,Men,10KM,2
1998,Nagano,Biathlon,"BJOERNDALEN, Dag",NOR,Men,4X7.5KM Relay,2
1998,Nagano,Biathlon,"BJOERNDALEN, Ole Einar",NOR,Men,4X7.5KM Relay,2
1998,Nagano,Biathlon,"GJELLAND, Egil",NOR,Men,4X7.5KM Relay,2
1998,Nagano,Biathlon,"HANEVOLD, Halvard",NOR,Men,4X7.5KM Relay,2
1998,Nagano,Skiing,"KJUS, Lasse",NOR,Men,Alpine Combined,2
1998,Nagano,Skiing,"KJUS, Lasse",NOR,Men,Downhill,2
1998,Nagano,Skiing,"FURUSETH, Ole Christian",NOR,Men,Slalom,2
1998,Nagano,Skiing,"JEVNE, Erling",NOR,Men,30KM Mass Start,2
1998,Nagano,Skiing,"MIKKELSPLASS, Marit",NOR,Women,4X5KM Relay,2
1998,Nagano,Skiing,"MOEN, Anita",NOR,Women,4X5KM Relay,2
1998,Nagano,Skiing,"NILSEN, Elin",NOR,Women,4X5KM Relay,2
1998,Nagano,Skiing,"SKARI, Bente",NOR,Women,4X5KM Relay,2
1998,Nagano,Skiing,"DAEHLIE, Bj’_rn",NOR,Men,Combined 10KM + 15KM Pursuit,2
1998,Nagano,Skiing,"FRANCK, Daniel",NOR,Men,Half-Pipe,2
1998,Nagano,Skiing,"KJELDAAS, Stine Brun",NOR,Women,Half-Pipe,2
2002,Salt Lake City,Biathlon,"POIREE, Liv Grete",NOR,Women,15KM,2
2002,Salt Lake City,Biathlon,"ANDREASSEN, Gunn Margit",NOR,Women,4X7.5KM Relay,2
2002,Salt Lake City,Biathlon,"POIREE, Liv Grete",NOR,Women,4X7.5KM Relay,2
2002,Salt Lake City,Biathlon,"SKJELBREID, Ann Elen",NOR,Women,4X7.5KM Relay,2
2002,Salt Lake City,Biathlon,"TJOERHOM, Linda",NOR,Women,4X7.5KM Relay,2
2002,Salt Lake City,Skiing,"KJUS, Lasse",NOR,Men,Downhill,2
2002,Salt Lake City,Skiing,"ESTIL, Frode",NOR,Men,15KM,2
2002,Salt Lake City,Skiing,"BJOERGEN, Marit",NOR,Women,4X5KM Relay,2
2002,Salt Lake City,Skiing,"MOEN, Anita",NOR,Women,4X5KM Relay,2
2002,Salt Lake City,Skiing,"PEDERSEN, Hilde G",NOR,Women,4X5KM Relay,2
2002,Salt Lake City,Skiing,"SKARI, Bente",NOR,Women,4X5KM Relay,2
2006,Turin,Biathlon,"HANEVOLD, Halvard",NOR,Men,10KM,2
2006,Turin,Biathlon,"BJOERNDALEN, Ole Einar",NOR,Men,12.5Km Pursuit,2
2006,Turin,Biathlon,"BJOERNDALEN, Ole Einar",NOR,Men,20KM,2
2006,Turin,Skiing,"BJORGEN, Marit",NOR,Women,10KM,2
2006,Turin,Skiing,"ESTIL, Frode",NOR,Men,Combined 15 + 15KM Mass Start,2
2006,Turin,Skiing,"HETLAND, Tor Arne",NOR,Men,Team Sprint,2
2006,Turin,Skiing,"SVARTEDAL, Jens Arne",NOR,Men,Team Sprint,2
2006,Turin,Skiing,"TRAA, Kari",NOR,Women,Moguls,2
2006,Turin,Skiing,"MOAN, Magnus H.",NOR,Men,Individual Sprint,2
