United States's Gold Medal list,,,,,,,
Year,City,Sport,Athlete,Country,Gender,Event,Medal
1964,Innsbruck,Skiing,"KIDD, William",USA,Men,Slalom,2
1968,Grenoble,Skating,"WOOD, Timothy",USA,Men,Individual,2
1968,Grenoble,Skating,"MCDERMOTT, Richard",USA,Men,500M,2
1968,Grenoble,Skating,"FISH, Jennifer",USA,Women,500M,2
1968,Grenoble,Skating,"HOLUM, Dianne",USA,Women,500M,2
1968,Grenoble,Skating,"MEYERS, Mary",USA,Women,500M,2
1972,Sapporo,Ice Hockey,"AHEARN, Kevin Joseph",USA,Men,Ice Hockey,2
1972,Sapporo,Ice Hockey,"BOUCHA, Henry",USA,Men,Ice Hockey,2
1972,Sapporo,Ice Hockey,"BROWN, Charles Erwin",USA,Men,Ice Hockey,2
1972,Sapporo,Ice Hockey,"CHRISTIANSEN, Keith",USA,Men,Ice Hockey,2
1972,Sapporo,Ice Hockey,"CURRAN, Michael",USA,Men,Ice Hockey,2
1972,Sapporo,Ice Hockey,"FTOREK, Robbie",USA,Men,Ice Hockey,2
1972,Sapporo,Ice Hockey,"HOWE, Mark",USA,Men,Ice Hockey,2
1972,Sapporo,Ice Hockey,"HYMANSON, Jeffrey",USA,Men,Ice Hockey,2
1972,Sapporo,Ice Hockey,"IRVING, Stuart",USA,Men,Ice Hockey,2
1972,Sapporo,Ice Hockey,"MCELMURY, James",USA,Men,Ice Hockey,2
1972,Sapporo,Ice Hockey,"MCGLYNN, Richard",USA,Men,Ice Hockey,2
1972,Sapporo,Ice Hockey,"MELLOR, Thomas",USA,Men,Ice Hockey,2
1972,Sapporo,Ice Hockey,"NՆSLUND, Ronald",USA,Men,Ice Hockey,2
1972,Sapporo,Ice Hockey,"OLDS, Walter",USA,Men,Ice Hockey,2
1972,Sapporo,Ice Hockey,"SANDERS, Franklynn",USA,Men,Ice Hockey,2
1972,Sapporo,Ice Hockey,"SARNER, Craig",USA,Men,Ice Hockey,2
1972,Sapporo,Ice Hockey,"SEARS, Peter",USA,Men,Ice Hockey,2
1972,Sapporo,Ice Hockey,"SHEEHY, Timothy",USA,Men,Ice Hockey,2
1972,Sapporo,Skating,"HOLUM, Dianne",USA,Women,3000M,2
1976,Innsbruck,Skating,"MUELLER, Leah",USA,Women,1000M,2
1976,Innsbruck,Skating,"YOUNG, Sheila",USA,Women,1500M,2
1976,Innsbruck,Skiing,"KOCH, William",USA,Men,30KM Mass Start,2
1980,Lake Placid,Skating,"FRATIANNE, Linda",USA,Women,Individual,2
1980,Lake Placid,Skating,"MUELLER, Leah",USA,Women,1000M,2
1980,Lake Placid,Skating,"MUELLER, Leah",USA,Women,500M,2
1980,Lake Placid,Skiing,"MAHRE, Phillip",USA,Men,Slalom,2
1984,Sarajevo,Skating,"SUMNERS, Rosalyn",USA,Women,Individual,2
1984,Sarajevo,Skating,"CARRUTHERS, Kitty",USA,Women,Pairs,2
1984,Sarajevo,Skating,"CARRUTHERS, Peter",USA,Men,Pairs,2
1984,Sarajevo,Skiing,"COOPER, Christin",USA,Women,Giant Slalom,2
1984,Sarajevo,Skiing,"MAHRE, Steven",USA,Men,Slalom,2
1988,Calgary,Skating,"FLAIM, Eric",USA,Men,1500M,2
1992,Albertville,Skating,"WYLIE, Paul",USA,Men,Individual,2
1992,Albertville,Skating,"DOHNAL, Darcie",USA,Women,3000M Relay,2
1992,Albertville,Skating,"PETERSON, Amy",USA,Women,3000M Relay,2
1992,Albertville,Skating,"TURNER, Cathy",USA,Women,3000M Relay,2
1992,Albertville,Skating,"ZIEGELMEYER, Nikki",USA,Women,3000M Relay,2
1992,Albertville,Skiing,"LINDH, Hilary",USA,Women,Downhill,2
1992,Albertville,Skiing,"ROFFE, Diann",USA,Women,Giant Slalom,2
1994,Lillehammer,Skating,"KERRIGAN, Nancy",USA,Women,Individual,2
1994,Lillehammer,Skating,"BARTZ, Randall",USA,Men,5000M Relay,2
1994,Lillehammer,Skating,"COYLE, John",USA,Men,5000M Relay,2
1994,Lillehammer,Skating,"FLAIM, Eric",USA,Men,5000M Relay,2
1994,Lillehammer,Skating,"GABEL, Andrew",USA,Men,5000M Relay,2
1994,Lillehammer,Skating,"GOSKOWICZ, Anthony",USA,Men,5000M Relay,2
1994,Lillehammer,Skiing,"STREET, Picabo",USA,Women,Downhill,2
1994,Lillehammer,Skiing,"MOE, Thomas",USA,Men,Super-G,2
1994,Lillehammer,Skiing,"MCINTYRE, Elizabeth",USA,Women,Moguls,2
1998,Nagano,Luge,"SHEER, Gordon",USA,Men,Doubles,2
1998,Nagano,Luge,"THORPE, Chris",USA,Men,Doubles,2
